"Run
No",AgNO,Temperature,Starch,NaBH,"Size of
Silver",Size of Silver,Error Actual Predict
1,0.5,25,0.25,0.5,25.47,25.282,0.18788
2,0.5,25,0.25,1,23.42,23.842,-0.4221
3,0.5,25,0.25,1.5,22.87,22.624,0.24597
4,0.5,25,0.25,2,21.59,21.598,-0.00802
5,0.5,25,0.25,2.5,20.81,20.736,0.07408
6,0.5,25,0.25,3,20.03,20.012,0.01794
7,1,30,0.5,1,19.25,19.608,-0.35812
8,1,30,0.5,2,18.47,18.458,0.012
9,1,30,0.5,3,17.72,17.6,0.12015
10,1,30,0.5,4,17.07,16.928,0.14188
11,1,30,0.5,5,16.36,16.369,-0.00881
12,1,30,0.5,6,15.61,15.871,-0.26089
13,1.5,35,1,1.5,14.85,14.893,-0.04287
14,1.5,35,1,3,14.14,14.203,-0.06283
15,1.5,35,1,4.5,13.75,13.506,0.24425
16,1.5,35,1,6,12.69,12.768,-0.07787
17,1.5,35,1,7.5,11.84,11.978,-0.13778
18,1.5,35,1,9,11.22,11.141,0.07937
19,2,40,1,2,10.25,10.25,0
20,2,40,1.5,4,9.49,9.4871,0.00293
21,2,40,1.5,6,8.23,8.6317,-0.40165
22,2,40,1.5,8,7.51,7.7574,-0.24743
23,2,40,1.5,10,6.72,6.7223,-0.00232
24,2,40,1.5,12,5.38,5.3772,0.0028
25,5,50,2,5,4.76,4.7617,-0.00173
26,5,50,2,10,4.53,4.7206,-0.19055
27,5,50,2,15,4.24,4.2419,-0.00192
28,5,50,2,20,4.01,4.0101,-0.00013
29,5,50,2,25,3.87,3.9347,-0.06468
30,5,50,2,30,3.86,3.8608,-0.00078
